Image name       Warp number of each repeat    Weft number of each repeat  
qx (1).jpg     6                             16           
qx (10).jpg     16                             13           
qx (11).jpg     2                             5           
qx (12).jpg     2                             16           
qx (13).jpg     2                             11           
qx (14).jpg     8                             2           
qx (15).jpg     4                             16           
qx (16).jpg     11                             4           
qx (17).jpg     4                             16           
qx (18).jpg     5                             17           
qx (19).jpg     17                             16           
qx (2).jpg     11                             20           
qx (20).jpg     14                             13           
qx (21).jpg     16                             14           
qx (22).jpg     4                             17           
qx (23).jpg     11                             4           
qx (24).jpg     11                             4           
qx (25).jpg     4                             18           
qx (26).jpg     5                             17           
qx (27).jpg     17                             16           
qx (28).jpg     14                             13           
qx (29).jpg     16                             14           
qx (3).jpg     20                             11           
qx (30).jpg     11                             4           
qx (31).jpg     4                             17           
qx (32).jpg     11                             2           
qx (33).jpg     4                             11           
qx (34).jpg     11                             17           
qx (35).jpg     17                             15           
qx (36).jpg     5                             17           
qx (37).jpg     17                             16           
qx (38).jpg     6                             2           
qx (39).jpg     4                             11           
qx (4).jpg     13                             17           
qx (40).jpg     11                             8           
qx (5).jpg     9                             6           
qx (6).jpg     13                             17           
qx (7).jpg     4                             13           
qx (8).jpg     12                             14           
qx (9).jpg     6                             6           
zc (1).jpg     6                             4           
zc (10).jpg     6                             3           
zc (11).jpg     6                             6           
zc (12).jpg     6                             6           
zc (13).jpg     3                             6           
zc (14).jpg     11                             4           
zc (15).jpg     4                             6           
zc (16).jpg     6                             4           
zc (17).jpg     4                             6           
